YEAR,MONTH,DAY,HOUR,MINUTE,LATITUDE,LONGITUDE,LOCATION_NAME,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY
1913,8,6,22,14,-17,-74,S. PERU,PERU,West Coast of South America,Earthquake,Questionable Tsunami,7.9,33,
1911,7,12,4,7,9,126,PHILIPPINE TRENCH,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,7.8,50,
1911,6,15,14,26,28,130,RYUKYU ISLANDS,JAPAN,Japan,Earthquake,Definite Tsunami,8,160,1.5
1909,12,9,23,28,12.5,145,"GUAM, MARIANA ISLANDS",USA TERRITORY,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,8,100,
1909,8,14,6,30,35.4,136.3,"ANEGAWA, JAPAN",JAPAN,Japan,Earthquake,Definite Tsunami,6.9,33,
1909,7,30,10,51,16.8,-99.8,S. MEXICO,MEXICO,West Coast of North and Central America,Earthquake,Questionable Tsunami,7.4,,
1909,6,8,5,46,-26.5,-70.5,NORTHERN CHILE,CHILE,West Coast of South America,Earthquake,Event that only caused a seiche or disturbance in an inland river,7.6,,
1909,6,3,18,40,-2,101,SUMATRA,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,7.6,40,1
1909,3,13,14,29,34.5,141.5,OFF BOSO PENINSULA,JAPAN,Japan,Earthquake,Definite Tsunami,7.5,80,
1907,4,14,6,8,17,-100,S. MEXICO,MEXICO,West Coast of North and Central America,Earthquake,Probable Tsunami,8.1,,
1907,1,14,21,36,18,-76.8,JAMAICA,JAMAICA,Caribbean Sea,Earthquake,Definite Tsunami,6.5,,
1906,12,26,6,53,-18,-71,S. PERU,PERU,West Coast of South America,Earthquake,Questionable Tsunami,7.9,33,
1906,10,2,1,50,-4,149,BISMARCK SEA,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.2,,1.5
1906,9,14,16,4,-7,149,SOLOMON SEA,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,8,33,1.5
1906,8,17,0,40,-33,-72,CENTRAL CHILE,CHILE,West Coast of South America,Earthquake,Probable Tsunami,8.2,25,2
1906,4,18,13,12,37.7,-122.5,N. CALIFORNIA,USA,West Coast of North and Central America,Earthquake and Landslide,Definite Tsunami,7.9,33,-4
1905,4,4,0,50,33,76,"KANGRA, INDIA",INDIA,Indian Ocean (including west coast of Australia),Earthquake,Event that only caused a seiche or disturbance in an inland river,7.8,25,
1904,8,8,22,50,-40.4,176.4,CAPE TURNAGAIN,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Very Doubtful Tsunami,7.2,33,
1904,6,25,21,0,52,159,"KAMCHATKA PENINSULA, RUSSIA",RUSSIA,Kamchatka and Kuril Islands,Earthquake,Probable Tsunami,8.1,,
1904,6,25,14,45,52,159,"KAMCHATKA PENINSULA, RUSSIA",RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,8.3,30,2
1904,1,20,14,52,7,-79,OFF THE COAST PANAMA-COLOMBIA,COLOMBIA,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.9,33,
1902,8,21,11,17,7.5,123.5,"ILLANA BAY, CELEBES SEA",PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,7.3,,2
1902,7,5,14,56,40.75,23.25,AEGEAN SEA,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,6.6,,2
1901,12,31,9,2,51.45,-171.02,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",USA,Alaska (including Aleutian Islands),Earthquake,Very Doubtful Tsunami,7.1,25,
1901,9,10,0,30,14,121.6,E. LUZON ISLAND,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,7,,0
1901,8,9,20,0,40.5,142.5,OFF NORTHEAST COAST HONSHU,JAPAN,Japan,Earthquake,Definite Tsunami,6.3,33,
1901,8,9,18,33,40.6,142.3,OFF NORTHEAST COAST HONSHU,JAPAN,Japan,Earthquake,Definite Tsunami,7.4,33,-1
1901,8,9,9,23,40.5,142.5,OFF NORTHEAST COAST HONSHU,JAPAN,Japan,Earthquake,Definite Tsunami,7.2,33,-0.5
1901,6,24,,,28,130.3,RYUKYU ISLANDS,JAPAN,Japan,Earthquake,Definite Tsunami,7.5,33,-1.5
1900,10,29,9,11,11,-66,MANCUTO,VENEZUELA,Caribbean Sea,Earthquake,Probable Tsunami,8.4,25,
1899,12,25,12,25,33.8,-118.5,S. CALIFORNIA,USA,West Coast of North and Central America,Meteorological,Very Doubtful Tsunami,6.4,,0.5
1899,11,24,18,43,31.9,132,SEIKAIDO,JAPAN,Japan,Earthquake,Definite Tsunami,7.1,,-1
1899,9,10,21,41,60,-140,"YAKUTAT BAY, AK",USA,Alaska (including Aleutian Islands),Earthquake and Landslide,Definite Tsunami,8.2,25,3
1899,9,4,0,22,60,-142,"CAPE YAKATAGA, AK",USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,8.2,,0
1899,1,22,7,56,37.2,21.6,IONIAN SEA,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,6.6,,3
1898,4,22,23,37,38.6,142,HONSHU ISLAND,JAPAN,Japan,Earthquake,Definite Tsunami,7.2,,-3
1898,3,31,7,43,38.2,-122.4,"OAKLAND, N. CALIFORNIA",USA,West Coast of North and Central America,Meteorological,Very Doubtful Tsunami,6.2,,2
1897,8,5,0,10,38,143.7,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,7.7,,1
1897,2,19,20,50,38.1,141.9,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,7.4,33,
1894,10,22,8,35,38.9,139.8,"YAMAGATA, JAPAN",JAPAN,Japan,Earthquake,Definite Tsunami,7,,-1
1894,7,10,12,33,40.6,28.7,MARMARA SEA,TURKEY,Mediterranean Sea,Earthquake,Definite Tsunami,6.7,,3
1894,4,27,19,21,38.7,23.1,NORTH EVOIKOS GULF,GREECE,Mediterranean Sea,Earthquake and Landslide,Definite Tsunami,7,,4
1894,3,22,10,23,42.5,146,SE. HOKKAIDO ISLAND,JAPAN,Japan,Earthquake,Definite Tsunami,7.9,,1.5
1893,6,14,,,40.2,19.7,ALBANIAN COASTS,ALBANIA,Mediterranean Sea,Earthquake,Questionable Tsunami,7.5,,3
1893,4,17,5,6,37.7,20.9,IONIAN SEA,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,6.4,,
1893,2,9,,,40.5,25.5,SAMOTHRACE,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,6.5,,3
1892,5,16,11,10,14,143.3,"GUAM, MARIANA ISLANDS",USA TERRITORY,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.5,,0.5
1889,5,25,18,23,13.5,121,MINDORO ISLAND,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,6.8,,-3
1887,10,3,,,38.3,22.8,"PELOPONNESUS, GREECE",GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,6.2,,3
1887,5,3,,,31,-109,N. MEXICO,MEXICO,West Coast of North and Central America,Earthquake and Landslide,Very Doubtful Tsunami,8,,1
1886,8,27,21,32,37.1,21.5,IONIAN SEA,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,7.5,,3
1884,11,5,,,7.5,-79,GULF OF PANAMA,PANAMA,West Coast of North and Central America,Earthquake,Very Doubtful Tsunami,7.5,,
1881,12,31,,,8.52,92.43,BAY OF BENGAL: W OF CAR NICOBAR IS,INDIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,7.9,,
1880,8,15,12,48,-31.62,-71.18,CENTRAL CHILE,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.7,,0.5
1880,7,18,4,40,16,121.85,E. LUZON ISLAND,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake and Landslide,Definite Tsunami,7.5,100,0
1878,1,23,12,5,-19.92,-70.335,NORTHERN CHILE,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.9,40,
1869,8,24,17,10,-19.6,-70.23,NORTHERN CHILE,CHILE,West Coast of South America,Earthquake,Probable Tsunami,7.5,,1.5
1869,12,28,,,38.8,20.7,IONIAN SEA,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,6.9,,3
1871,4,30,,,9.203,124.673,SULU SEA,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Volcano,Very Doubtful Tsunami,,,2
1872,3,14,8,20,34.9,132,SW. HONSHU ISLAND,JAPAN,Japan,Earthquake,Definite Tsunami,7.4,33,1
1878,1,27,,,-12,-77,CENTRAL PERU,PERU,West Coast of South America,Unknown,Probable Tsunami,,,1.5
1878,11,22,,,35.18,-120.731,S. CALIFORNIA,USA,West Coast of North and Central America,Landslide,Probable Tsunami,,,1.5
1883,10,6,19,4,59.4,-153.4,"COOK INLET, AK",USA,Alaska (including Aleutian Islands),Volcano and Landslide,Definite Tsunami,,,3
1900,10,7,21,4,-4,140,BISMARCK SEA,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,6.9,,1.5
1875,3,28,,,-20,168.5,"LIFOU ISLAND, LOYALTY ISLANDS",NEW CALEDONIA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,8,,2.5
1918,9,7,17,16,45.5,151.5,S. KURIL ISLANDS,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,8.2,33,3
1918,8,15,12,18,5.5,123,CELEBES SEA,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,8.3,33,2.5
1917,6,26,5,49,-15.5,-173,SAMOA ISLANDS,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,8.3,25,3
1914,5,26,14,22,-1.829,136.943,NW. IRIAN JAYA,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,8.1,15,2
1901,8,9,13,1,-22,170,LOYALTY ISLANDS,NEW CALEDONIA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.9,,
1897,9,21,5,12,6,122,SULU SEA,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,8.7,33,2.5
1882,9,7,7,50,10,-79,SAN BLAS ARCHIPELAGO,PANAMA,Caribbean Sea,Earthquake and Landslide,Definite Tsunami,7.9,40,1
1895,3,6,8,35,-8.4,150.1,SOLOMON SEA,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.3,,2
1905,7,6,16,21,37.4,142.6,JAPAN:  OFF FUKUSHIMA,JAPAN,Japan,Earthquake,Probable Tsunami,7,33,
1902,2,26,,,13.5,-89.5,EL SALVADOR-GUATEMALA,EL SALVADOR,West Coast of North and Central America,Earthquake,Probable Tsunami,7,,2
1871,3,3,,,2.28,125.425,RUANG,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Volcano,Definite Tsunami,,,3.5
1899,1,15,,,-3,152,"EAST COAST, NEW IRELAND",PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,,,1.5
1920,12,18,2,1,40.5,19.5,ALBANIAN COASTS,ALBANIA,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,5.6,,5
1918,10,11,14,14,18.7,-67.189,PUERTO RICO: MONA PASSAGE,USA TERRITORY,Caribbean Sea,Earthquake and Landslide,Definite Tsunami,7.1,15,
1907,1,4,5,19,2,94.5,NW. SUMATRA,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,7.6,50,2
1906,1,31,15,35,1,-81.5,OFF COAST,ECUADOR,West Coast of South America,Earthquake,Definite Tsunami,8.8,25,3
1877,5,10,0,59,-21.5,-70.5,NORTHERN CHILE,CHILE,West Coast of South America,Earthquake,Definite Tsunami,8.3,,3.5
1896,6,15,10,33,39.5,144,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,8.3,,3.8
1908,12,28,4,20,38.17,15.58,"MESSINA STRAIT, IONIAN SEA",ITALY,Mediterranean Sea,Earthquake and Landslide,Definite Tsunami,7,40,5
1899,9,29,17,3,-3,128.5,BANDA SEA,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake and Landslide,Definite Tsunami,7.8,,3
1888,3,13,,,-5.52,148.121,RITTER ISLAND,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Volcano and Landslide,Definite Tsunami,,,3.5
1883,8,27,2,59,-6.102,105.423,KRAKATAU,INDONESIA,Indian Ocean (including west coast of Australia),Volcano,Definite Tsunami,,,4
1922,9,1,19,16,24.5,122,TAIWAN,TAIWAN,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,7.6,,
1929,8,9,,,-23.7,-70.4,NORTHERN CHILE,CHILE,West Coast of South America,Meteorological,Questionable Tsunami,,,2.5
1952,9,23,4,20,32.1,139.85,MYOJINSHO SUBMARINE VOLCANO,JAPAN,Japan,Volcano,Definite Tsunami,,,-1
1953,6,27,,,-2.4,147.4,BISMARCK SEA,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Volcano,Probable Tsunami,,,1
1952,9,16,2,50,32.1,139.85,MYOJINSHO SUBMARINE VOLCANO,JAPAN,Japan,Volcano,Definite Tsunami,,,-1
1923,2,17,,,-35.33,-72.42,CENTRAL CHILE,CHILE,West Coast of South America,Unknown,Probable Tsunami,,,1.5
1935,11,21,11,41,19.5,-155.5,HAWAII,USA,"Hawaii, Johnston Atoll, Midway I",Meteorological,Very Doubtful Tsunami,,8,2
1966,11,28,,,-10.28,166.23,"MOHAWK BAY, SANTA CRUZ ISLANDS",SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Unknown,Very Doubtful Tsunami,,,-0.5
1963,3,30,,,-8.342,115.508,LESSER SUNDA: BALI: AGUNG VOLCANO,INDONESIA,Indian Ocean (including west coast of Australia),Volcano,Questionable Tsunami,,,2
1923,3,4,,,-26.3,-80.1,SAN FELIX ISLAND,CHILE,West Coast of South America,Unknown,Very Doubtful Tsunami,,,4
1959,2,23,,,40.63,22.97,"GRECIAN ARCHIPELAGO, CRETE",GREECE,Mediterranean Sea,Unknown,Very Doubtful Tsunami,,,3
1933,1,8,16,,49.12,154.508,"KHARIMKOTAN, N. KURIL ISLANDS",RUSSIA,Kamchatka and Kuril Islands,Volcano,Definite Tsunami,6,33,2
1952,9,26,3,33,32.1,139.85,MYOJINSHO SUBMARINE VOLCANO,JAPAN,Japan,Volcano,Definite Tsunami,,,-1
1936,10,27,15,50,58.6,-137.1,"LITUYA BAY, AK",USA,Alaska (including Aleutian Islands),Landslide,Definite Tsunami,,,4
1937,9,22,,,58,165,KAMCHATKA,RUSSIA,Kamchatka and Kuril Islands,Unknown,Very Doubtful Tsunami,5.8,,
1928,3,31,,,-23.7,-70.4,NORTHERN CHILE,CHILE,West Coast of South America,Unknown,Very Doubtful Tsunami,,,2
1934,8,21,,,33.7,-118.2,S. CALIFORNIA,USA,West Coast of North and Central America,Meteorological,Event that only caused a seiche or disturbance in an inland river,,,3
1967,12,4,,,-63,-60.5,"TELEPHONE BAY, DECEPCION ISLAND",ANTARCTICA,West Coast of South America,Volcano,Very Doubtful Tsunami,,,0
1958,10,7,10,0,-16.829,168.536,KUWAE VOLCANO,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Volcano,Very Doubtful Tsunami,,,0
1924,7,19,,,-43.95,-176.567,CHATHAM I.,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Unknown,Very Doubtful Tsunami,,,1
1953,3,11,,,32.1,139.85,MYOJINSHO SUBMARINE VOLCANO,JAPAN,Japan,Volcano,Definite Tsunami,,,-1
1926,1,25,0,36,-10.061,159.215,SOLOMON SEA,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.5,15,
1952,7,13,11,58,-18.5,169.25,OFF EAST COAST OF VANUATU,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Questionable Tsunami,6.8,260,
1949,9,5,2,54,17,121.5,NORTHERN LUZON ISLAND,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,6.4,80,-4
1938,11,6,21,38,37,141.7,OFF FUKUSHIMA PREFECTURE,JAPAN,Japan,Earthquake,Definite Tsunami,7.1,20,-0.5
1956,1,8,20,54,-19,-70,NORTHERN CHILE,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.1,55,
1928,4,25,0,31,38,23,"GRECIAN ARCHIPELAGO, CRETE",GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,5.2,,
1953,3,17,13,4,50,156.5,N. KURIL ISLANDS,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Probable Tsunami,5.8,,
1926,8,31,10,40,37.973,-28.59,AZORES,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Very Doubtful Tsunami,5.8,10,
1961,5,23,2,45,36.7,28.5,ASIA MINOR,TURKEY,Mediterranean Sea,Earthquake,Probable Tsunami,6.5,,
1931,8,7,2,11,-3.417,142.077,BISMARCK SEA,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Very Doubtful Tsunami,7,35,
1927,10,24,15,59,57.69,-136.07,"SE. ALASKA, AK",USA,Alaska (including Aleutian Islands),Earthquake and Landslide,Probable Tsunami,7.1,25,
1945,2,10,4,57,40.9,142.1,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,7.3,20,-1.5
1938,2,13,,,-3,132.3,BANDA SEA,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,6,,-0.5
1923,8,12,,,-18.5,-70.3,NORTHERN CHILE,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,33,
1967,12,21,2,25,-21.7,-69.5,NORTHERN CHILE,CHILE,West Coast of South America,Earthquake,Probable Tsunami,7.5,33,0
1948,6,1,18,58,6,95,OFF NORTHWEST COAST,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,6.3,,0
1928,5,27,9,50,40,143.2,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,7,40,-2
1967,3,19,4,1,45.53,151.11,S. KURIL ISLANDS,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Very Doubtful Tsunami,7,38,
1965,8,13,12,40,-15.9,166.8,VANUATU ISLANDS,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Questionable Tsunami,7.3,33,1
1964,7,24,8,12,47.159,153.876,S. KURIL ISLANDS,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,6.8,15,-2
1962,4,23,5,58,42.2,143.9,SE. HOKKAIDO ISLAND,JAPAN,Japan,Earthquake,Definite Tsunami,7,60,-3.5
1960,7,29,17,31,40.3,142.5,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,6.7,30,-3
1959,10,26,7,35,37.5,143.2,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,6.7,10,-4
1953,2,15,,,-12,-77.5,CENTRAL PERU,PERU,West Coast of South America,Earthquake,Questionable Tsunami,5.5,,
1950,1,30,0,56,-53.5,-71.5,SOUTHERN CHILE,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7,33,
1943,6,13,5,12,41.2,143.3,SE. HOKKAIDO ISLAND,JAPAN,Japan,Earthquake,Definite Tsunami,7.1,20,-0.5
1938,5,23,7,18,36.7,141.4,JAPAN TRENCH,JAPAN,Japan,Earthquake,Definite Tsunami,7.1,,
1927,8,18,19,28,34.2,142,"KASHIMA, JAPAN",JAPAN,Japan,Earthquake,Definite Tsunami,6.4,20,
1925,5,5,10,6,9.3,122.7,W. LUZON ISLAND,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,6.8,33,0.5
1937,11,6,,,-3,132.3,BANDA SEA,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,6,33,
1964,5,7,7,58,40.3,139,NW. HONSHU ISLAND,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,30,0
1957,7,29,17,15,-23.5,-71.5,NORTHERN CHILE,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7,33,
1925,5,15,11,56,-26,-71.5,NORTHERN CHILE,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,7.1,50,
1968,1,29,10,19,43.586,146.701,S. KURIL ISLANDS,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.3,40,-1
1967,11,15,21,31,-28.78,-71.19,NORTHERN CHILE,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,5.9,35,
1967,9,3,,,-10.6,-79.8,CENTRAL PERU,PERU,West Coast of South America,Earthquake,Questionable Tsunami,7,40,-1.5
1965,10,3,16,14,-42.9,-75.13,SOUTHERN CHILE,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,6.5,28,
1965,8,11,22,31,-15.8,167.2,VANUATU ISLANDS,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7,13,2.5
1965,7,2,20,58,53.03,-167.55,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,6.5,40,-2
1965,6,11,3,34,44.7,148.7,S. KURIL ISLANDS,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.2,,-3
1965,3,22,22,56,-31.81,-71.26,CENTRAL CHILE,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,6,58,
1965,2,23,22,11,-25.67,-70.63,NORTHERN CHILE,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7,36,
1964,12,10,15,11,40.4,138.9,NW. HONSHU ISLAND,JAPAN,Japan,Earthquake,Definite Tsunami,6.3,40,-3
1963,12,16,1,51,-6.4,105.4,JAVA,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,6.6,64,0
1963,10,12,11,27,44.426,149.272,S. KURIL ISLANDS,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.1,48,-2
1962,5,21,12,21,41.8,142.4,OFF COAST OF HONSHU ISLAND,JAPAN,Japan,Earthquake,Questionable Tsunami,5.7,60,-2
1962,4,12,0,52,38.073,142.741,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,7.2,25,-2
1962,3,12,11,40,8.008,-82.757,COSTA RICA-PANAMA,PANAMA,West Coast of North and Central America,Earthquake,Probable Tsunami,6.8,35,
1961,10,18,16,51,-36.7,-73,CENTRAL CHILE,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,6.5,15,
1961,8,11,15,51,42.9,145.6,SE. HOKKAIDO ISLAND,JAPAN,Japan,Earthquake,Definite Tsunami,7,80,-4
1961,8,1,5,39,-9.849,160.614,SOLOMON SEA,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Questionable Tsunami,6.4,25,
1961,7,23,21,51,-18.421,168.411,VANUATU ISLANDS,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.3,45,-0.5
1961,7,18,14,4,29.6,131.8,RYUKYU ISLANDS,JAPAN,Japan,Earthquake,Definite Tsunami,6.6,60,-3
1961,2,12,21,53,43.2,147.9,S. KURIL ISLANDS,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,6.6,80,-0.5
1961,1,16,12,12,36.2,141.9,"KASHIMA, JAPAN",JAPAN,Japan,Earthquake,Definite Tsunami,6.5,20,-2
1961,1,16,11,19,36,141.9,"KASHIMA, JAPAN",JAPAN,Japan,Earthquake,Definite Tsunami,6.4,20,-2
1961,1,16,7,20,36,142.3,"KASHIMA, JAPAN",JAPAN,Japan,Earthquake,Definite Tsunami,6.8,40,-2
1960,11,1,8,45,-38.5,-75.1,SOUTHERN CHILE,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.4,55,
1960,6,11,15,14,-9.4,152.3,SOLOMON SEA,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,6.6,33,0
1960,3,23,0,23,39.4,143.7,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,6.7,20,-2.5
1960,3,20,17,7,39.8,143.4,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,7.5,20,-2
1959,4,9,12,24,44.3,149,S. KURIL ISLANDS,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Questionable Tsunami,5,40,-2
1959,2,7,9,36,-4,-81.5,N. PERU,PERU,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.4,19,-2
1959,1,22,5,10,37.5,142.2,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,6.8,40,-2
1958,11,12,20,23,44.2,148.8,S. KURIL ISLANDS,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Questionable Tsunami,7,29,-1
1958,11,4,22,54,-50,-115,EAST PACIFIC RISE,PACIFIC OCEAN,West Coast of South America,Earthquake,Very Doubtful Tsunami,6.1,,
1958,9,17,12,24,48.6,156.1,N. KURIL ISLANDS,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Questionable Tsunami,5,40,-1
1957,10,26,14,16,-2,116,MAKASSAR STRAIT,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,6,,0
1957,9,26,,,-8.2,107.3,SOUTH OF JAVA,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,5.5,,
1956,12,18,2,31,-25.5,-71,NORTHERN CHILE,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7,33,
1956,3,5,23,29,44.3,144.1,NE. HOKKAIDO ISLAND,JAPAN,Japan,Earthquake,Definite Tsunami,6.3,20,-2
1955,10,10,8,57,-5.1,152.924,BISMARCK SEA,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.3,35,
1955,9,8,3,27,-6.9,155.7,SOLOMON SEA,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,6.5,33,
1955,5,17,14,49,6.5,94,LITTLE NICOBAR ISLAND,INDIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,7.3,,
1955,1,18,,,11.46,-69.57,OFF THE COAST NEAR LA VELA,VENEZUELA,Caribbean Sea,Earthquake,Questionable Tsunami,5.5,,
1954,11,18,20,44,38.9,142.2,"MIYAGI, JAPAN",JAPAN,Japan,Earthquake,Definite Tsunami,6.1,30,-1
1953,5,31,19,58,19.8,-70.7,PUERTO PLATA,DOMINICAN REPUBLIC,Caribbean Sea,Earthquake,Questionable Tsunami,7.2,33,
1952,5,13,19,32,10.3,-85.3,COSTA RICA-PANAMA,COSTA RICA,West Coast of North and Central America,Earthquake,Questionable Tsunami,6.9,64,-3
1952,3,17,3,58,19.1,-155,HAWAII,USA,"Hawaii, Johnston Atoll, Midway I",Earthquake,Definite Tsunami,4.5,33,0
